bizId,name,rating,reviewCount,formattedAddress,latitude,longitude,categories,region,city,isAd,photoUrl,businessUrl
rMUyTGt_FW2AHUn-kfraDA,Thanh Auto Repair,4.7,578,10462 Stanford Ave,33.77759281374617,-117.950351,['Auto Repair'],California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/wK35TuWtkEHkcNrRbK6fhg/ls.jpg,https://www.yelp.com/biz/thanh-auto-repair-garden-grove?osq=Auto+Services&override_cta=Get+pricing
PPGbzCfdP4ecgCiH_wTiaQ,Neel's Car Care Center,4.9,186,17025 Imperial Hwy,33.90172439022897,-117.83584464906988,"['Auto Repair', 'Oil Change Stations']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/V9DI6QjqTpksZmetuBVjeQ/ls.jpg,https://www.yelp.com/biz/neels-car-care-center-yorba-linda?osq=Auto+Services&override_cta=Get+pricing
AZdzqjDe4LSmrPW1JaJ4yg,Full Service Auto & Transmission Repairs,4.8,361,14747 Artesia Blvd,33.8745326,-118.0166112,"['Auto Repair', 'Transmission Repair']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/w2_MOoFBHdxFZNYsZlsdHw/ls.jpg,https://www.yelp.com/biz/full-service-auto-and-transmission-repairs-la-mirada-3?osq=Auto+Services&override_cta=Get+pricing
wiQ8t7Fij2mhGTR2874t8w,Chapman Auto Repair of Orange,4.6,981,807 W Chapman Ave,33.78812841889797,-117.8609055,"['Auto Repair', 'Smog Check Stations', 'Oil Change Stations']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/fWPIaJH4DyckeeoDDjSoIg/ls.jpg,https://www.yelp.com/biz/chapman-auto-repair-of-orange-orange-4?osq=Auto+Services&override_cta=Get+pricing
qCSzC6hDyoUtLZAtUZbbzg,The Auto Service,4.6,241,800 S Grand Ave,33.7380223,-117.8506256,"['Auto Repair', 'Tires', 'Smog Check Stations']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/Z2H-o_LSF_tJVcSjgQEOUA/ls.jpg,https://www.yelp.com/biz/the-auto-service-santa-ana?osq=Auto+Services&override_cta=Get+pricing
QTv9onSj6FThmN6lCS9W6g,Cook's Tire & Service,5.0,1,421 W Chapman Ave,33.7891896,-117.9123135,"['Tires', 'Auto Repair', 'Oil Change Stations']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/-eK5R_liqgicxwGv00NPww/ls.jpg,https://www.yelp.com/biz/cooks-tire-and-service-anaheim?osq=Auto+Services&override_cta=Get+pricing
3_FsO6nvs7ppxXzvIOm9pg,Placentia Super Service,4.6,451,643 S Melrose St,33.8645295,-117.8752235,"['Auto Repair', 'Transmission Repair', 'Oil Change Stations']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/gk3YTJMBH2gEt-YgUYZVOw/ls.jpg,https://www.yelp.com/biz/placentia-super-service-placentia?osq=Auto+Services&override_cta=Get+pricing
oMNCVkG4KMVNcF7RzbleCQ,Anaheim Auto Repair and Muffler Care,4.7,570,2583 W Ball Rd,33.8179809,-117.9754897,"['Auto Repair', 'Oil Change Stations', 'Transmission Repair']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/NwlJ104ZisCnRoAfgab2vQ/ls.jpg,https://www.yelp.com/biz/anaheim-auto-repair-and-muffler-care-anaheim?osq=Auto+Services&override_cta=Get+pricing
b6BnjYkGO9KIVE6Saafqvw,S & K Auto Repair,4.7,176,146 W Wilshire Ave,33.8719847,-117.9263419,"['Auto Repair', 'Oil Change Stations']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/iMtrm3x1JwNLB0MvubfbWw/ls.jpg,https://www.yelp.com/biz/s-and-k-auto-repair-fullerton?osq=Auto+Services&override_cta=Get+pricing
4ohP_Kc2lvzm0M2AZ9QyFw,Becker Tire & Service Center,4.8,323,1100 N Tustin,33.805710820602364,-117.8361544,"['Tires', 'Auto Repair', 'Wheel & Rim Repair']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/PdvxCCayI_-kfMiMXfm9qA/ls.jpg,https://www.yelp.com/biz/becker-tire-and-service-center-orange?osq=Auto+Services&override_cta=Get+pricing
_w3qupwFxGkMO5F1iMRlWg,Lawrence's Auto Repair,4.9,429,460 W Wilken Way,33.792367,-117.9133232,"['Auto Repair', 'Smog Check Stations']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/FCNT58uLaUKo-Bsz8Xv6-A/ls.jpg,https://www.yelp.com/biz/lawrences-auto-repair-anaheim?osq=Auto+Services&override_cta=Get+pricing
KGK9MX0nwNtfKlKh5TeVpQ,Harbor Brakes & Auto Repair,4.8,527,13692 Harbor Blvd,33.7643701,-117.9194507,"['Tires', 'Auto Repair', 'Transmission Repair']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/E3qkt6eDl0kaH-22iPd48w/ls.jpg,https://www.yelp.com/biz/harbor-brakes-and-auto-repair-garden-grove-3?osq=Auto+Services&override_cta=Get+pricing
wneb04kmtAg0k4SsMYyHKg,Fullerton Auto Repair Clinic & Body Shop,4.7,405,148 Lloyd Ave,33.8692963,-117.9626536,"['Body Shops', 'Auto Repair', 'Oil Change Stations']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/iZ5YfNKHjLS-eABB4bA21A/ls.jpg,https://www.yelp.com/biz/fullerton-auto-repair-clinic-and-body-shop-fullerton-7?osq=Auto+Services&override_cta=Get+pricing
IQgn_haln5SZnqZ8Bs2l0Q,Your Dream Garage,4.9,164,709 W Commonwealth Ave,33.8704559,-117.9379436,"['DIY Auto Shop', 'Tires']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/j_oaMIY95wT8Uyb_2dVVkw/ls.jpg,https://www.yelp.com/biz/your-dream-garage-fullerton?osq=Auto+Services&override_cta=Get+pricing
-ve99foZnuwPJ0xAhlMolw,Frank's Auto Service,4.9,230,2880 E Miraloma Ave,33.8552351,-117.8684579,"['Auto Repair', 'Oil Change Stations', 'Transmission Repair']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/k5OVAhqYonRtao5xA9NBUw/ls.jpg,https://www.yelp.com/biz/franks-auto-service-anaheim?osq=Auto+Services&override_cta=Get+pricing
eqsOIgLMvcMMnHVpcrFfNg,Western Brake & Tire,4.6,113,801 E Ball Rd,33.8185082583553,-117.899968267684,"['Tires', 'Auto Repair']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/nVnhe5_e9tx4a81u2F58ZA/ls.jpg,https://www.yelp.com/biz/western-brake-and-tire-anaheim?osq=Auto+Services&override_cta=Get+pricing
h57ww6TkesGWyEdHM3mtkQ,Cook's Tire & Tune,4.8,645,420 W Lincoln Ave,33.834531262202,-117.857369659594,"['Auto Repair', 'Oil Change Stations', 'Tires']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/5RcXg_7KNeBR7xGiFP3Zpw/ls.jpg,https://www.yelp.com/biz/cooks-tire-and-tune-orange-27?osq=Auto+Services&override_cta=Get+pricing
ht3sSPJPSfM0izcfUX5iTQ,Steed Auto Repair,4.5,375,8143 Commonwealth Ave,33.8701161,-117.9913902,"['Auto Repair', 'Smog Check Stations', 'Oil Change Stations']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/rU9h3dW4wnASsVD9x_hv4w/ls.jpg,https://www.yelp.com/biz/steed-auto-repair-buena-park?osq=Auto+Services&override_cta=Get+pricing
zXfnM3JCFxJFwAuAtmB6ng,James Auto Center,4.5,257,10711 Garden Grove Blvd,33.7744444,-117.9458897,"['Auto Repair', 'Tires']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/KMeld_O6Re0TvRO5Pin0Aw/ls.jpg,https://www.yelp.com/biz/james-auto-center-garden-grove-4?osq=Auto+Services&override_cta=Get+pricing
MQJ5p1YUYcAhOMn7V6pZ5A,AutoWave Honda & Acura Specialists,4.7,177,17122 Gothard St,33.7136665,-117.999784,"['Transmission Repair', 'Auto Repair']",California,Anaheim,True,https://s3-media0.fl.yelpcdn.com/bphoto/-NjmnwU18Q2fEkO8OFyu2w/ls.jpg,https://www.yelp.com/biz/autowave-honda-and-acura-specialists-huntington-beach-2?override_cta=Get+pricing
6KUsoNV904G86kCnFHWyBg,Performance Auto Service & Repair,4.9,250,2044 Placentia Ave,33.6487114,-117.9315219,['Auto Repair'],California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/TxOkkHrQquPr_0GKxrZo-g/ls.jpg,https://www.yelp.com/biz/performance-auto-service-and-repair-costa-mesa?osq=Auto+Services&override_cta=Get+pricing
Io7a5r8CQlpz540c_X8Z1w,BC Advance Auto Repair,4.8,655,308 N Harbor Blvd,33.7470833,-117.920575,"['Auto Repair', 'Oil Change Stations', 'Transmission Repair']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/eiPXUFxfO9s2PYNG4dOpBQ/ls.jpg,https://www.yelp.com/biz/bc-advance-auto-repair-santa-ana?osq=Auto+Services&override_cta=Get+pricing
6WuTrr9IkvnObhxZoPi5ng,Duncan's Auto Service,4.9,97,2172 N Batavia St,33.8235458,-117.8624525,['Auto Repair'],California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/htPQElFR1lrFJU354uGOvA/ls.jpg,https://www.yelp.com/biz/duncans-auto-service-orange?osq=Auto+Services&override_cta=Get+pricing
dJpVmq7WUg7tFPGrzT5qAA,Japanese Auto Center,4.6,553,1846 Del Amo Blvd,33.8465762446688,-118.31072489143432,['Auto Repair'],California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/eMd0WXAkjb1B2ST7sOuJaQ/ls.jpg,https://www.yelp.com/biz/japanese-auto-center-torrance?osq=Auto+Services&override_cta=Get+pricing
PDUXQEzgO2lmyRI_F5fecA,Guero's Auto Repair,4.6,37,3300 Westminster Ave,33.75958915452159,-117.91445695330464,"['Auto Repair', 'Tires', 'Auto Parts & Supplies']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/JZQ93bkKCVOnRGxxjetVpg/ls.jpg,https://www.yelp.com/biz/gueros-auto-repair-santa-ana-2?osq=Auto+Services&override_cta=Get+pricing
9WOGIos-0WGQQF9Ag5NSXg,Kool Auto Service,4.9,67,1901 W Lambert Rd,33.9248543,-117.9668875,"['Auto Repair', 'Smog Check Stations', 'Oil Change Stations']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/d0d64LGO1k4AWCVv0LtKYA/ls.jpg,https://www.yelp.com/biz/kool-auto-service-la-habra-2?osq=Auto+Services&override_cta=Get+pricing
tCIOlVpTdgd2fjd4EHkeOQ,Electron Automotive,4.7,217,969 N Batavia St,33.803164,-117.8607333,"['Auto Repair', 'Hybrid Car Repair', 'Oil Change Stations']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/OAQcC_pAdr_QBpDFpVCQYA/ls.jpg,https://www.yelp.com/biz/electron-automotive-orange?osq=Auto+Services&override_cta=Get+pricing
YQMJgztyJ1i7OlHwj0g6eA,Al's Auto Electric,4.8,18,631 S Anaheim Blvd,33.8278504,-117.9118696,['Auto Repair'],California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/oXpA3y45oOAWtbuYkifqRA/ls.jpg,https://www.yelp.com/biz/als-auto-electric-anaheim?osq=Auto+Services&override_cta=Get+pricing
P3s-b76T-EXuf2FTJOkrVA,Econo Lube N' Tune & Brakes,4.7,180,845 E Lincoln Ave,33.83668890000001,-117.8446738,"['Oil Change Stations', 'Auto Repair']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/4yqAICxdptitEF5G_O-oMg/ls.jpg,https://www.yelp.com/biz/econo-lube-n-tune-and-brakes-orange-2?osq=Auto+Services&override_cta=Get+pricing
mE-LMCtt585UfvzrrzoVWw,Toyota of Orange,3.6,2584,1400 N Tustin St,33.810784,-117.836453,"['Auto Repair', 'Car Dealers', 'Used Car Dealers']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/WUsLflC-c11QVVbTpVVXrQ/ls.jpg,https://www.yelp.com/biz/toyota-of-orange-orange?osq=Auto+Services&override_cta=Get+pricing
3N5ysuUmM7f6hotzT8XUJg,J & J Auto Service,4.6,72,300 S Magnolia Ave,33.866096,-117.975968,['Auto Repair'],California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/TbsduHRzCsn_wA0HvPCusA/ls.jpg,https://www.yelp.com/biz/j-and-j-auto-service-fullerton?osq=Auto+Services&override_cta=Get+pricing
KYBZS83iWz8PhlKaLHbHRg,Castners Auto Service,4.7,66,214 S Bradford Ave,33.8700109,-117.8708149,"['Auto Repair', 'Smog Check Stations']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/VlJfWSXUO0tLvpOS1u-YVQ/ls.jpg,https://www.yelp.com/biz/castners-auto-service-placentia?osq=Auto+Services&override_cta=Get+pricing
49V0eYqEFJSZWpA8n813lA,JIN'S Autocare,5.0,15,14582 Goldenwest St,33.750721211459165,-118.0068762,"['Auto Repair', 'Oil Change Stations', 'Windshield Installation & Repair']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/GjaMClCaJ5G0tLlAWO8Cvw/ls.jpg,https://www.yelp.com/biz/jins-autocare-westminster?osq=Auto+Services&override_cta=Get+pricing
MwCYJUCAegzSBoMHzlgdHw,Expertec Automotive,4.8,56,718 W Lincoln Ave,33.8331503,-117.9229046,"['Auto Repair', 'Tires']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/3skAoyL_TRxMXkVLkNxz-A/ls.jpg,https://www.yelp.com/biz/expertec-automotive-anaheim?osq=Auto+Services&override_cta=Get+pricing
nGPFhMKa-xknVAJuvrxVuw,Dinh's Pass or Don't Pay Smog Check,4.9,650,1135 W Barkley Ave,33.801499,-117.864632,"['Smog Check Stations', 'Auto Repair']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/RQM6VOsLqTb3UFj59tM02w/ls.jpg,https://www.yelp.com/biz/dinhs-pass-or-dont-pay-smog-check-orange?osq=Auto+Services&override_cta=Get+pricing
-ztdkrCejhfJ5_r5b-XMTg,Advanced Car Care,4.2,283,817 S Brookhurst,33.8206712968276,-117.959545254707,"['Auto Repair', 'Tires']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/EBbFjv9VXtDM2pEyJhdjHA/ls.jpg,https://www.yelp.com/biz/advanced-car-care-anaheim-3?osq=Auto+Services&override_cta=Get+pricing
5EELTp16k-0nnc-lqU1VOQ,Auto Technik Carcare,4.8,431,5260 Las Flores Dr,33.98234834799234,-117.6896848777898,['Auto Repair'],California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/bNXQb2DI6qb9jf7VTcSW9w/ls.jpg,https://www.yelp.com/biz/auto-technik-carcare-chino-2?osq=Auto+Services&override_cta=Get+pricing
qdZNp1E9t9wP0cK_KocRVw,Bavarian Autotech's,4.7,89,551 S Raymond Ave,33.86522,-117.9071889,['Auto Repair'],California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/7Ru5Nxdtv6IAkndEj2EhMw/ls.jpg,https://www.yelp.com/biz/bavarian-autotechs-fullerton?osq=Auto+Services&override_cta=Get+pricing
1UedJpLZBWsR30yyq5fjxQ,JR's Wheels & Tires,4.7,578,1695 W Lincoln Ave,33.832889,-117.940848,"['Wheel & Rim Repair', 'Tires', 'Auto Repair']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/jxm2ZFg7CPXpvk0ox-zg8Q/ls.jpg,https://www.yelp.com/biz/jrs-wheels-and-tires-anaheim-2?osq=Auto+Services&override_cta=Get+pricing
BbpBaXstTVxgDVf-bJ6kQg,George's Auto Service,4.9,104,14213 Imperial Hwy,33.91750892592331,-118.02853093862304,['Auto Repair'],California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/XVoTHPCwVrxs3hIwsFTaPQ/ls.jpg,https://www.yelp.com/biz/georges-auto-service-la-mirada?osq=Auto+Services&override_cta=Get+pricing
6H2HnzANWMBWYM-tTU2b0A,Danny's Auto Service,4.9,342,205 N Fairview St,33.747161719279426,-117.90493595330427,"['Auto Repair', 'Oil Change Stations', 'Transmission Repair']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/HxAnrpjzkWFsJ6sGbwB3tw/ls.jpg,https://www.yelp.com/biz/dannys-auto-service-santa-ana?osq=Auto+Services&override_cta=Get+pricing
WsOdx3HSgrgr0zBwX7b5kg,J&C Tires & Service,4.9,92,914 S Harbor Blvd,33.7354195,-117.920596,"['Tires', 'Oil Change Stations', 'Auto Repair']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/YcCkEvfqQoMhE6Gt6l8Lmg/ls.jpg,https://www.yelp.com/biz/j-and-c-tires-and-service-santa-ana-2?osq=Auto+Services&override_cta=Get+pricing
dwSJy43cnugx2yvDsIZkVA,Orange Independent Auto Repair,4.8,41,187 S Main St,33.7864195,-117.8668828,['Auto Repair'],California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/o9mmPmFAZDzNaj2jGY4zYA/ls.jpg,https://www.yelp.com/biz/orange-independent-auto-repair-orange?osq=Auto+Services&override_cta=Get+pricing
wmOWWLFpNB_TZ8gt2KjtqA,Pops & Sons Automotive,4.9,61,629 W Valencia Dr,33.86777624461516,-117.93627762939948,['Auto Repair'],California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/HpxebuinVPY5AGyDhgvPmg/ls.jpg,https://www.yelp.com/biz/pops-and-sons-automotive-fullerton?osq=Auto+Services&override_cta=Get+pricing
gEml6d27-9Od2bUHgF63fQ,Auto Pros,4.6,242,816 N Main St,33.8008045,-117.8669506,"['Auto Repair', 'Transmission Repair', 'Oil Change Stations']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/IgoXtf0l3C9DSe-k25eIng/ls.jpg,https://www.yelp.com/biz/auto-pros-orange-3?osq=Auto+Services&override_cta=Get+pricing
TH_vpw8pq-M-pYnO6cElRw,Moyo Tires & Auto Service,4.2,21,105 S State College Blvd,33.8407728,-117.8895866,"['Auto Repair', 'Tires']",California,Anaheim,False,https://s3-media0.fl.yelpcdn.com/bphoto/mbT45mzQBzIZqPRA2kofgg/ls.jpg,https://www.yelp.com/biz/moyo-tires-and-auto-service-anaheim-2?osq=Auto+Services&override_cta=Get+pricing
qCSzC6hDyoUtLZAtUZbbzg,The Auto Service,4.6,241,800 S Grand Ave,33.7380223,-117.8506256,"['Auto Repair', 'Tires', 'Smog Check Stations']",California,Santa-Ana,False,https://s3-media0.fl.yelpcdn.com/bphoto/Z2H-o_LSF_tJVcSjgQEOUA/ls.jpg,https://www.yelp.com/biz/the-auto-service-santa-ana?osq=Auto+Services&override_cta=Get+pricing
